N1,N2,N3,F1,F2,F3,L1,L2,L3,gamma,1/lambda,gamma_over_lambda
369.6703710236213,154.11870231042394,0.19470653273120378,83.0,22.0,15.0,78.0,42.0,18.0,9.433962264150944e-08,0.1,0.2830188679245283
131.51368970577477,79.28197200925199,1.2388572368579207,7.0,42.0,50.0,46.0,83.0,30.0,9.433962264150944e-08,0.10974987654930562,0.31061285815841216
237.7615559821914,90.44086240765932,0.9518466093773853,37.0,20.0,75.0,85.0,79.0,9.0,9.433962264150944e-08,0.12045035402587821,0.34089722837512704
571.3177344660007,89.67454508043413,0.3387857119779421,23.0,63.0,60.0,20.0,93.0,73.0,9.433962264150944e-08,0.1321941148466029,0.37413428730170634
122.35987093916839,65.34381870085772,1.3679769455887034,28.0,47.0,63.0,3.0,66.0,80.0,9.433962264150944e-08,0.14508287784959398,0.41061191844224715
330.2696241967219,111.76378745433865,0.6085779025392525,73.0,49.0,71.0,69.0,17.0,7.0,9.433962264150944e-08,0.1592282793341092,0.45064607358710157
82.57174615862087,72.32705633378706,1.3856640032084815,18.0,32.0,35.0,25.0,39.0,79.0,9.433962264150944e-08,0.17475284000076838,0.494583509436137
60.409950395242134,207.71026658471285,0.3377083435724049,79.0,0.0,65.0,33.0,17.0,48.0,9.433962264150944e-08,0.19179102616724888,0.5428047910393836
279.40672837520054,126.44861697744003,0.5848686845097023,50.0,61.0,40.0,2.0,56.0,40.0,9.433962264150944e-08,0.2104904144512021,0.5957275880694399
399.20469049678223,105.38149908036343,0.5319470547431493,92.0,53.0,96.0,25.0,88.0,32.0,9.433962264150944e-08,0.23101297000831597,0.6538102924763661
426.99542981253535,24.871235233842675,1.1280245374520046,53.0,48.0,77.0,66.0,36.0,97.0,9.433962264150944e-08,0.2535364493970112,0.7175559888594658
251.8655992980807,37.86728876155537,1.3485943367608526,3.0,28.0,85.0,14.0,26.0,6.0,9.433962264150944e-08,0.2782559402207124,0.7875168119454126
395.0357070720542,62.91358165026974,0.8813219785459969,21.0,41.0,2.0,92.0,54.0,83.0,9.433962264150944e-08,0.30538555088334157,0.8642987289151178
34.23436833449564,122.90280926106247,1.0685398357689984,78.0,46.0,94.0,1.0,7.0,10.0,9.433962264150944e-08,0.33516026509388425,0.9485667880015594
85.44020950792026,3.2483385784548098,1.9360463922997078,32.0,90.0,81.0,77.0,31.0,47.0,9.433962264150944e-08,0.36783797718286343,1.0410508788194248
749.4467357955651,14.97246275919091,0.6090456539256328,13.0,67.0,35.0,47.0,2.0,35.0,9.433962264150944e-08,0.4037017258596554,1.1425520543197798
