nso,nna,ndo,fso,fna,fdo,lso,lna,ldo,gamma,1/lambda,gamma_over_lambda
0.00040441917115329015,0.00013103930186523352,3.158611152797609e-07,1e-08,6.900000000000001e-08,5.0000000000000004e-08,4.7000000000000004e-08,4e-09,7.200000000000001e-08,1e-05,3.3333333333333335e-07,0.2564102564102564
0.0005635202191360459,0.00012052290815826224,1.0509996072676559e-07,1.6e-08,6.000000000000001e-09,2.3e-08,4.1e-08,1.2000000000000002e-08,7.3e-08,1e-05,3.0372091870516305e-07,0.28140993987001445
0.0003191143939218488,7.638797388734985e-05,9.138695282790258e-07,9.100000000000001e-08,4e-08,5.1e-08,7.800000000000001e-08,5.3000000000000005e-08,2e-09,1e-05,2.7673918937732485e-07,0.30884706160481595
0.0005104341098387229,0.0001437344690763061,1.692424040337358e-08,1.5000000000000002e-08,3.3000000000000004e-08,8.400000000000001e-08,2.8000000000000003e-08,8.6e-08,4.2000000000000006e-08,1e-05,2.5215444251820963e-07,0.3389592688374433
0.0004187353599676388,4.288949149310965e-05,9.98409981860556e-07,1.6e-08,7.000000000000001e-09,3.3000000000000004e-08,9.5e-08,3.3000000000000004e-08,3.4e-08,1e-05,2.2975373681165657e-07,0.37200737910152304
0.0005760159684192569,2.6799684307031313e-05,8.358639843755089e-07,1.6e-08,4.9e-08,5.0000000000000004e-08,8.800000000000001e-08,6.4e-08,9.2e-08,1e-05,2.093430480611418e-07,0.40827763931822875
0.0007036385370443685,8.968247140973621e-05,9.307689389871527e-08,5.8e-08,9.2e-08,6.8e-08,5.7e-08,1.5000000000000002e-08,1e-09,1e-05,1.9074558864500725e-07,0.44808420513017533
0.00017635577020924624,1.954370987958019e-05,1.636178503055519e-06,6.900000000000001e-08,8.700000000000001e-08,8.700000000000001e-08,6.5e-08,1.1000000000000001e-08,8.9e-08,1e-05,1.7380027626665617e-07,0.49177186196730477
0.0005860688043013184,5.011559129797715e-06,9.924773009954666e-07,6.000000000000001e-09,6.300000000000001e-08,7.200000000000001e-08,9.700000000000001e-08,3.0000000000000004e-08,1.3e-08,1e-05,1.5836033873675985e-07,0.5397190114133387
0.0003304907955042993,0.00010144358352409518,6.911887547486786e-07,3.3000000000000004e-08,5.4e-08,1.2000000000000002e-08,7.3e-08,9.400000000000001e-08,4.5000000000000006e-08,1e-05,1.442920427027686e-07,0.5923409487392718
0.0009923178868323002,1.6065526715451717e-05,1.4937777982811068e-07,8e-08,4.5000000000000006e-08,6.8e-08,2.3e-08,3.6000000000000005e-08,6.000000000000001e-08,1e-05,1.314735353145885e-07,0.6500934599923365
0.0007107190237610877,7.127395409220729e-05,2.2802074598888754e-07,9.300000000000001e-08,1.4000000000000001e-08,2.8000000000000003e-08,2.2000000000000002e-08,5.5e-08,6.1e-08,1e-05,1.197937887934876e-07,0.7134767697966985
0.0004172213497023667,0.00016448511770373627,2.3038007886342072e-08,5.3000000000000005e-08,7.9e-08,6.1e-08,7.6e-08,1.5000000000000002e-08,1.1000000000000001e-08,1e-05,1.0915163876259093e-07,0.7830398740598503
0.0004364921771103506,0.00010553350364147487,4.6150242656545475e-07,4.1e-08,8.800000000000001e-08,9.600000000000001e-08,5.7e-08,5.3000000000000005e-08,7.3e-08,1e-05,9.945490800944463e-08,0.8593852951125237
0.00026423522060611094,0.0001868824377335728,1.268704502755074e-07,3.1e-08,9.400000000000001e-08,5.5e-08,2.2000000000000002e-08,2.8000000000000003e-08,7.800000000000001e-08,1e-05,9.0619608091098e-08,0.9431743004688806
0.0004772359816849376,0.00010875105788903064,3.599803851409585e-07,2e-08,6.900000000000001e-08,1e-08,6.000000000000001e-09,8.2e-08,1.7e-08,1e-05,8.256921186639036e-08,1.035132630409373
5.130678599725565e-05,8.483862644105634e-05,1.3430553825956065e-06,9.600000000000001e-08,5.2e-08,5.2e-08,9.9e-08,4.2000000000000006e-08,4.2000000000000006e-08,1e-05,7.523399065446399e-08,1.136056783995867
0.0009606551829179961,2.8425616338419557e-05,1.0872613790009706e-07,5.5e-08,3.3000000000000004e-08,9.000000000000001e-09,6.000000000000001e-09,8.6e-08,1.8000000000000002e-08,1e-05,6.855041027828837e-08,1.2468209179654755
0.000640385835850895,8.116554615426356e-05,2.790163319566141e-07,6.7e-08,6.1e-08,9.2e-08,4.5000000000000006e-08,3.8e-08,8.800000000000001e-08,1e-05,6.24605807620128e-08,1.3683844182580283
5.4385032016625735e-05,0.00024666436785360994,3.5524827879450986e-08,4.9e-08,6.1e-08,4e-09,2.6e-08,5.2e-08,3.3000000000000004e-08,1e-05,5.6911754915689674e-08,1.50180020975812
3.3167425724826976e-05,0.000151107189335839,8.436288746656015e-07,2e-08,4.6e-08,1.8000000000000002e-08,8.3e-08,5.5e-08,9.100000000000001e-08,1e-05,5.185587146434905e-08,1.6482238762267492
0.00046559677095171006,4.342968524999162e-05,9.070691701082793e-07,7e-08,7.1e-08,6.5e-08,5.2e-08,6.300000000000001e-08,5.2e-08,1e-05,4.7249138764226834e-08,1.808923669415037
0.00020218533029923712,0.0002111988837459035,4.6447104211350846e-08,2.7e-08,9.300000000000001e-08,1.6e-08,0.0,6.7e-08,1.8000000000000002e-08,1e-05,4.305165550049612e-08,1.9852914940541726
0.0006486944773105652,5.1985008703744524e-05,4.983362963611547e-07,3.1e-08,8.500000000000001e-08,3.7e-08,6.600000000000001e-08,3.5e-08,6.000000000000001e-08,1e-05,3.92270650811666e-08,2.1788549638683192
7.63797002556593e-06,0.00012329494475412598,1.1147597822522677e-06,1.6e-08,6.900000000000001e-08,9.000000000000001e-09,1e-09,1.8000000000000002e-08,5.7e-08,1e-05,3.574224073367744e-08,2.3912906330338974
0.0002278935762157676,0.00010650960406882088,8.409000114220457e-07,2.4000000000000003e-08,2.8000000000000003e-08,2.6e-08,3.0000000000000004e-09,5.1e-08,7.6e-08,1e-05,3.2566998576640836e-08,2.6244385176898115
7.512759789629485e-05,0.00020680708847972129,3.176516436106058e-07,5.4e-08,3.9000000000000005e-08,4.3e-08,2.2000000000000002e-08,4e-09,5.2e-08,1e-05,2.9673836181501282e-08,2.880318033276994
0.00024414763133182374,4.817591374050157e-05,1.2799939525854013e-06,7.000000000000001e-09,7.1e-08,7.800000000000001e-08,7.200000000000001e-08,1e-08,9.300000000000001e-08,1e-05,2.7037694359656227e-08,3.161145485748889
0.0002032879506485934,9.984417274991867e-05,9.401991969710873e-07,1.3e-08,3.3000000000000004e-08,4e-09,1e-09,2.3e-08,1.9e-08,1e-05,2.4635740111752583e-08,3.4693532681533528
0.00027107067079672783,5.265610503204348e-05,1.193971919674042e-06,6.2e-08,1.9e-08,6.300000000000001e-08,4.1e-08,9.400000000000001e-08,4.5000000000000006e-08,1e-05,2.2447168859169404e-08,3.8076109288576028
0.0003592315500781346,6.4605863845544e-05,9.341764355034182e-07,6.600000000000001e-08,7.7e-08,9.700000000000001e-08,1.2000000000000002e-08,5.9000000000000006e-08,2.1000000000000003e-08,1e-05,2.0453024244710574e-08,4.1788482938990885
8.839889449235599e-05,0.00012206959775524653,9.746896941242124e-07,4.1e-08,9.100000000000001e-08,5.3000000000000005e-08,4.8000000000000006e-08,5.5e-08,5.9000000000000006e-08,1e-05,1.8636033941707407e-08,4.586280843737014
0.0008191349742147677,1.750438826512781e-05,4.593057115773733e-07,6.4e-08,5e-09,6.5e-08,3.6000000000000005e-08,6.600000000000001e-08,6.4e-08,1e-05,1.6980460049387925e-08,5.033437564205824
0.00040400813067615975,4.6421131561791695e-05,9.973396643986568e-07,5.2e-08,7.500000000000001e-08,8e-09,1.8000000000000002e-08,4e-08,8.6e-08,1e-05,1.5471962778709257e-08,5.524191512902268
0.00023627326736016976,6.734222524764842e-05,1.1404277659035033e-06,6.2e-08,1.2000000000000002e-08,1.8000000000000002e-08,2e-08,6.1e-08,7.6e-08,1e-05,1.409747624796499e-08,6.062793365757457
1.108937379697914e-05,0.00015030474262378785,8.91070683477612e-07,3.0000000000000004e-08,9.9e-08,8.2e-08,6.5e-08,4.5000000000000006e-08,4.6e-08,1e-05,1.2845095312368424e-08,6.653908234358301
0.00029657491244286456,5.970407953330729e-05,1.0899271217440665e-06,4.8000000000000006e-08,7.200000000000001e-08,1.7e-08,6.600000000000001e-08,9.400000000000001e-08,6.2e-08,1e-05,1.1703972447383772e-08,7.302656072912312
0.0008734743361464049,3.141150696661589e-05,2.465516095264719e-07,1.7e-08,2.9e-08,7.7e-08,9.9e-08,1.6e-08,7.800000000000001e-08,1e-05,1.0664223792657942e-08,8.014656024841633
0.0002223854922985229,0.00016615457084784687,3.713082314866471e-07,7.500000000000001e-08,9.100000000000001e-08,4.9e-08,5.9000000000000006e-08,7.800000000000001e-08,8.700000000000001e-08,1e-05,9.716843542750587e-09,8.796075093115176
